类别ID,训练集数量,测试集数量,总数,训练集比例,测试集比例
1,238,60,298,79.87%,20.13%
2,184,46,230,80.00%,20.00%
3,238,60,298,79.87%,20.13%
4,235,59,294,79.93%,20.07%
5,238,60,298,79.87%,20.13%
6,236,60,296,79.73%,20.27%
7,237,60,297,79.80%,20.20%
8,226,57,283,79.86%,20.14%
9,332,84,416,79.81%,20.19%
10,451,113,564,79.96%,20.04%
11,477,120,597,79.90%,20.10%
12,355,89,444,79.95%,20.05%
13,90,23,113,79.65%,20.35%
14,237,60,297,79.80%,20.20%
15,236,59,295,80.00%,20.00%
16,230,58,288,79.86%,20.14%
17,236,60,296,79.73%,20.27%
18,236,60,296,79.73%,20.27%
19,236,60,296,79.73%,20.27%
20,237,60,297,79.80%,20.20%
21,238,60,298,79.87%,20.13%
22,238,60,298,79.87%,20.13%
23,238,60,298,79.87%,20.13%
24,238,60,298,79.87%,20.13%
25,238,60,298,79.87%,20.13%
26,238,60,298,79.87%,20.13%
27,238,60,298,79.87%,20.13%
28,238,60,298,79.87%,20.13%
29,238,60,298,79.87%,20.13%
30,187,47,234,79.91%,20.09%
31,238,60,298,79.87%,20.13%
32,238,60,298,79.87%,20.13%
33,238,60,298,79.87%,20.13%
34,238,60,298,79.87%,20.13%
35,238,60,298,79.87%,20.13%
36,238,60,298,79.87%,20.13%
37,238,60,298,79.87%,20.13%
38,238,60,298,79.87%,20.13%
39,238,60,298,79.87%,20.13%
40,238,60,298,79.87%,20.13%
41,238,60,298,79.87%,20.13%
42,238,60,298,79.87%,20.13%
43,238,60,298,79.87%,20.13%
44,238,60,298,79.87%,20.13%
45,236,60,296,79.73%,20.27%
46,238,60,298,79.87%,20.13%
47,105,27,132,79.55%,20.45%
48,176,45,221,79.64%,20.36%
49,238,60,298,79.87%,20.13%
50,238,60,298,79.87%,20.13%
51,238,60,298,79.87%,20.13%
52,238,60,298,79.87%,20.13%
53,238,60,298,79.87%,20.13%
54,240,60,300,80.00%,20.00%
55,196,50,246,79.67%,20.33%
56,238,60,298,79.87%,20.13%
57,238,60,298,79.87%,20.13%
58,238,60,298,79.87%,20.13%
